Anomaly Level,Real VaR,Synth VaR,VaR Diff,KS Stat,KS P
5%,-0.04242294384535197,-0.005925007350742817,0.03649793649460915,0.3477582329317269,4.166827874189199e-26
10%,-0.03933758816643258,-0.00411780159920454,0.035219786567228045,0.2904867469879518,3.2985677105074582e-18
20%,-0.05428686052047229,-0.006979559222236275,0.047307301298236015,0.27118875502008033,6.836550195219031e-16
